"date","homesteads.Treated"
Aug 1891,0
Sep 1891,3
Oct 1891,0
Nov 1891,0
Jan 1892,0
Feb 1892,4
Mar 1892,1
Apr 1892,1
May 1892,0
Jun 1892,3
Jul 1892,6
Aug 1892,0
Oct 1892,2
Nov 1892,1
Dec 1892,9
Jan 1893,0
Feb 1893,6
Mar 1893,0
Apr 1893,5
May 1893,1
Jun 1893,1
Jul 1893,0
Aug 1893,0
Oct 1893,0
Nov 1893,11
Dec 1893,0
Jan 1894,1
Feb 1894,3
Mar 1894,11
Apr 1894,3
May 1894,2
Jun 1894,0
Jul 1894,1
Aug 1894,29
Sep 1894,4
Oct 1894,48
Nov 1894,41
Dec 1894,21
Jan 1895,27
Feb 1895,31
Mar 1895,74
Apr 1895,22
May 1895,26
Jun 1895,101
Jul 1895,34
Aug 1895,23
Sep 1895,13
Oct 1895,95
Nov 1895,29
Dec 1895,87
Jan 1896,8
Feb 1896,11
Mar 1896,11
Apr 1896,34
May 1896,12
Jun 1896,33
Jul 1896,35
Aug 1896,12
Sep 1896,5
Oct 1896,11
Nov 1896,12
Dec 1896,14
Jan 1897,8
Feb 1897,3
Mar 1897,3
Apr 1897,26
May 1897,21
Jun 1897,9
Jul 1897,25
Aug 1897,22
Sep 1897,5
Oct 1897,4
Nov 1897,3
Dec 1897,3
Jan 1898,13
Feb 1898,3
Mar 1898,0
Apr 1898,12
May 1898,11
Jun 1898,19
Jul 1898,0
Aug 1898,20
Sep 1898,0
Oct 1898,3
Nov 1898,16
Dec 1898,14
Jan 1899,21
Feb 1899,9
Mar 1899,7
Apr 1899,31
May 1899,4
Jun 1899,24
Jul 1899,0
Aug 1899,5
Sep 1899,11
Oct 1899,0
Nov 1899,22
Dec 1899,13
Jan 1900,5
Feb 1900,1
Mar 1900,12
Apr 1900,29
May 1900,15
Jun 1900,12
Jul 1900,20
Aug 1900,19
Sep 1900,10
Oct 1900,20
Nov 1900,0
Jan 1901,56
Feb 1901,15
Mar 1901,46
Apr 1901,36
May 1901,68
Jun 1901,52
