"date","sales.Treated"
Aug 1891,0
Sep 1891,0
Oct 1891,0
Nov 1891,7
Jan 1892,11
Feb 1892,10
Mar 1892,11
Apr 1892,0
May 1892,7
Jun 1892,8
Jul 1892,0
Aug 1892,10
Oct 1892,2
Nov 1892,4
Dec 1892,12
Jan 1893,1
Feb 1893,21
Mar 1893,11
Apr 1893,3
May 1893,3
Jun 1893,7
Jul 1893,5
Aug 1893,4
Oct 1893,0
Nov 1893,10
Dec 1893,15
Jan 1894,5
Feb 1894,10
Mar 1894,3
Apr 1894,11
May 1894,16
Jun 1894,21
Jul 1894,1
Aug 1894,9
Sep 1894,0
Oct 1894,41
Nov 1894,9
Dec 1894,0
Jan 1895,0
Feb 1895,33
Mar 1895,36
Apr 1895,11
May 1895,10
Jun 1895,21
Jul 1895,0
Aug 1895,23
Sep 1895,2
Oct 1895,23
Nov 1895,14
Dec 1895,22
Jan 1896,19
Feb 1896,8
Mar 1896,14
Apr 1896,4
May 1896,1
Jun 1896,14
Jul 1896,0
Aug 1896,1
Sep 1896,1
Oct 1896,9
Nov 1896,4
Dec 1896,3
Jan 1897,4
Feb 1897,2
Mar 1897,1
Apr 1897,1
May 1897,2
Jun 1897,0
Jul 1897,5
Aug 1897,5
Sep 1897,0
Oct 1897,5
Nov 1897,3
Dec 1897,3
Jan 1898,6
Feb 1898,1
Mar 1898,7
Apr 1898,13
May 1898,1
Jun 1898,0
Jul 1898,3
Aug 1898,3
Sep 1898,2
Oct 1898,0
Nov 1898,3
Dec 1898,8
Jan 1899,11
Feb 1899,9
Mar 1899,0
Apr 1899,15
May 1899,3
Jun 1899,5
Jul 1899,3
Aug 1899,9
Sep 1899,0
Oct 1899,7
Nov 1899,13
Dec 1899,11
Jan 1900,0
Feb 1900,2
Mar 1900,12
Apr 1900,0
May 1900,10
Jun 1900,18
Jul 1900,1
Aug 1900,9
Sep 1900,22
Oct 1900,20
Nov 1900,1
Jan 1901,1
Feb 1901,3
Mar 1901,0
Apr 1901,13
May 1901,1
Jun 1901,1
